StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q33,Q34,Q35,baseline_timer_First Click,baseline_timer_Last Click,baseline_timer_Page Submit,baseline_timer_Click Count,Q30,baseline_learning,main1_timer_First Click,main1_timer_Last Click,main1_timer_Page Submit,main1_timer_Click Count,main2_timer_First Click,main2_timer_Last Click,main2_timer_Page Submit,main2_timer_Click Count,main2_satisficing,main_pre_timer_First Click,main_pre_timer_Last Click,main_pre_timer_Page Submit,main_pre_timer_Click Count,main_pre_prompt_q,prompt_arch_timer_First Click,prompt_arch_timer_Last Click,prompt_arch_timer_Page Submit,prompt_arch_timer_Click Count,prompt_curb_appeal_t_First Click,prompt_curb_appeal_t_Last Click,prompt_curb_appeal_t_Page Submit,prompt_curb_appeal_t_Click Count,prompt_control_timer_First Click,prompt_control_timer_Last Click,prompt_control_timer_Page Submit,prompt_control_timer_Click Count,post_timer_First Click,post_timer_Last Click,post_timer_Page Submit,post_timer_Click Count,post_q,end_timer_First Click,end_timer_Last Click,end_timer_Page Submit,end_timer_Click Count,end_q,Q_TotalDuration,MTurkCode
2020-05-12 15:57:31,2020-05-12 16:10:37,IP Address,173.198.160.217,100,786,True,2020-05-12 16:10:37,R_yywN1EYzNyKwsnf,,,,,43.9600982666015625,-111.69750213623046875,anonymous,EN,Yes,Yes,Yes,47.328,53.821,58.181,2,Definitely not,Yes,0,0,10.029,0,76.671,76.671,89.373,1,,151.9,151.9,216.384,1,"This home has two stories.
This home has double chimneys.
This house is brick.
This house has asphalt shingles.",,,,,20.303,20.303,24.001,1,,,,,19.832,203.943,275.071,2,"This home has two stories.
This home is brick.
This home is spacious.
This home has asphalt shingles.",0,0,17.537,0,,786,6151069453
2020-05-12 15:43:26,2020-05-12 16:11:20,IP Address,174.128.243.106,100,1674,True,2020-05-12 16:11:20,R_2wobSEvCTVwaJr0,,,,,39.7501068115234375,-104.995697021484375,anonymous,EN,Yes,Yes,Yes,269.908,289.788,292.889,4,Definitely yes,Yes,0,0,28.627,0,40.118,40.118,41.543,1,,7.774,177.961,196.931,9,"its a storey building
its beautiful flower round the building
its has a roof house on it.
its has no balcony",80.037,83.137,87.451,2,,,,,,,,,10.389,682,691.215,12,"one storey building
a storey building wit a roof house.
a storey building wit nine windows
surrounded with small flower and grass.",26.276,26.276,30.032,1,no,1674,5152587024
2020-05-12 16:09:51,2020-05-12 16:12:38,IP Address,198.228.132.184,100,167,True,2020-05-12 16:12:38,R_9vEhfWraNCYA0X7,,,,,34.0240020751953125,-84.23960113525390625,anonymous,EN,Yes,Yes,Yes,1.986,3.874,4.91,2,Definitely yes,Yes,0,0,2.507,0,1.124,44.827,45.276,17,,5.686,5.686,26.451,1,very nice house..looking very awesome,0,0,2.978,0,,,,,,,,,2.138,2.138,8.26,1,excellent house,1.846,31.127,31.529,3,its very interesting survey.,167,339281414
2020-05-12 16:10:47,2020-05-12 16:15:23,IP Address,45.72.6.95,100,275,True,2020-05-12 16:15:23,R_1CrUMSVYBU33LTM,,,,,42.37969970703125,-71.10340118408203125,anonymous,EN,Yes,Yes,Yes,7.079,11.398,12.077,3,Definitely yes,No,0,0,0.565,0,42.93,42.93,44.101,1,,5.15,5.15,64.729,1,it was a tradition house and it has a huge air dent.it has a great space to hanging.nice sturcture and the exterior was good.,,,,,5.428,9.42,13.755,3,,,,,15.013,15.013,62.411,1,"it was looking some scary,good air dent,it has more free space and it the design of the house was nice.",4.659,4.659,20.313,1,nice study and thanks for the opportunity,275,2048787279
2020-05-12 16:12:12,2020-05-12 16:19:49,IP Address,196.19.158.138,100,456,True,2020-05-12 16:19:49,R_3dJSBWJJo5xywlV,,,,,39.10009765625,-94.5782012939453125,anonymous,EN,Yes,Yes,Yes,4.349,7.479,8.703,3,Definitely yes,Yes,67.61,67.61,81.247,1,10.208,10.208,32.962,1,,9.97,173.266,189.3,5,that house is very nice,,,,,,,,,0,0,43.077,0,0.553,0.553,15.128,1,very nice,3.403,3.403,11.261,1,nothing,456,2477564830
2020-05-12 16:18:24,2020-05-12 16:23:10,IP Address,99.23.146.214,100,286,True,2020-05-12 16:23:11,R_2dgLH72vYaWzKgK,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,Yes,Yes,Yes,59.786,61.296,64.3,2,Definitely not,No,0,0,0.755,0,7.162,7.162,8.13,1,,5.932,5.932,54.727,1,The house has brick. The house has 3 floors. The house has white window frames.  The house has chimneys on both ends.,12.55,12.55,90.291,1,,,,,,,,,1.818,34.634,35.229,2,The house has brick.  The house has chimneys on both ends. The house has many windows.  The house has white window frames.,2.75,2.75,3.2,1,,286,7493779514
2020-05-12 16:26:35,2020-05-12 16:30:08,IP Address,68.98.33.156,100,212,True,2020-05-12 16:30:08,R_1LC3CO7Pv6aPS6t,,,,,33.24090576171875,-111.77919769287109375,anonymous,EN,Yes,Yes,Yes,7.083,9.236,11.982,2,Definitely not,Yes,0,0,2.774,0,3.195,3.195,4.074,1,,3.301,41.077,41.844,7,It's a brick house. Look at all the windows. I like the chimneys. The plant life around the house looks great.,,,,,47.56,47.835,49.867,2,,,,,4.7,79.134,80.229,3,"It could use a bit more colorful plant life in front of the house to provide more curb appeal. The house itself looks great, but the grey color scheme looks dull without bright flowers or other things to liven it up. The leafless trees in front actually make it look a bit scary.",0,0,1.45,0,,212,2287834836
2020-05-12 16:34:58,2020-05-12 16:39:53,IP Address,65.249.164.126,100,294,True,2020-05-12 16:39:53,R_1mqs9Y11ZjHaoCN,,,,,40.730804443359375,-73.99749755859375,anonymous,EN,Yes,Yes,Yes,2.221,4.04,5.153,2,Not really,Yes,0,0,3.654,0,76.399,76.399,77.906,1,,8.156,62.602,81.894,7,"looks like vintage house not had good opinions come for this picture. feeling fear about this house ",,,,,,,,,0,0,8.575,0,4.407,39.142,41.7,4,"vintage house this thought also same not have good thinks  ",5.822,5.822,52.726,1,picture area inside home are little close up pictures means we have good thoughts about it,294,3569719581
2020-05-12 17:54:28,2020-05-12 18:02:10,IP Address,174.216.12.200,100,462,True,2020-05-12 18:02:11,R_Rn1lK9bWEx1pHj3,,,,,47.204498291015625,-122.266204833984375,anonymous,EN,Yes,Yes,Yes,8.001,11.093,12.507,2,Definitely not,No,0,0,6.294,0,6.694,6.694,8.038,1,,4.645,134.092,144.29,7,"This house has lots of brick on the front and  looks inviting.
This house has lots of windows.
The flowers in the front are colorful.
It has two bay windows in the front.",37.696,54.133,129.388,4,,,,,,,,,4.831,4.831,92.578,1,"This house has many multi pained windows in the front.
It has windows in the attic.
This house has a chimney on either side of it.
The front entrance is inviting.",6.058,6.058,29.408,1,The houses were beautiful!!!!,462,5206481791
2020-05-12 16:13:24,2020-05-12 18:13:39,IP Address,192.200.158.244,100,7215,True,2020-05-12 18:13:40,R_3s1uyRzc709efZv,,,,,33.4412994384765625,-112.0420989990234375,anonymous,EN,Yes,Yes,Yes,38.266,42.777,44.319,2,A little bit,Yes,1161.013,1161.013,1259.342,1,5.712,61.603,63.772,5,,2225.65,3198.9,3202.515,11,"The house is a storey building with a free road beside it. It has three standard windows and three roof top windows. There is a mini garden right in front of it, consisting of plants varying in color and sizes. The roof is colored brown. The windows and doors are all white in color.",,,,,,,,,0,0,104.534,0,26.904,195.373,231.252,2,"There are 13 visible openings in the house, There are two dried trees right in front of the house. There are 9 standard windows and 3 roof top windows. All the windows and doors are colored white. The roof and building walls has the same dirty brown color.",52.075,52.075,57.689,1,none,7215,1398420813
2020-05-12 18:42:29,2020-05-12 18:50:30,IP Address,162.193.23.43,100,481,True,2020-05-12 18:50:30,R_217yyNG4EwzBh4F,,,,,29.700897216796875,-95.5885009765625,anonymous,EN,Yes,Yes,Yes,1.165,52.963,55.44,7,Not really,Yes,0,0,25.355,0,17.526,39.934,41.317,2,,5.373,86.98,127.346,3,"The house looks like an expensive house. It is two stories or maybe even three. It looks quite clean, but the roof looks a bit dirty. It looks like a Western style house.",,,,,0,0,98.823,0,,,,,8.566,92.262,115.164,3,The house looks old in design and physically. The trees blocking the house look dead. There are many windows. It looks like a 2 story house.,0.63,0.63,4.958,1,,481,8534138700
2020-05-12 19:29:12,2020-05-12 19:45:01,IP Address,24.254.194.87,100,948,True,2020-05-12 19:45:01,R_1KlHdPH4J7TzfIj,,,,,36.9134979248046875,-76.28260040283203125,anonymous,EN,Yes,Yes,Yes,5.537,7.72,8.826,2,Definitely not,No,0,0,9.315,0,152.344,163.272,164.096,3,,41.718,157.565,164.401,2,"This is a double storied castle-themed house with red brick-colored rooftop and elegant white windows. There is one chimney on each end. The front yard has a lawn, red flowers, and a small tree. Th edges of the house consist of red bricks while the walls are made of gray bricks.",3.591,3.591,6.754,1,,,,,,,,,1.388,252.092,262.062,13,This is a brown-colored brick house typical of the Georgian style. There is symmetry with chimneys on either side and three white dormer windows facing the front. Below the roof are symmetrical sets of vertical glass windows with subdividing panes. There is a crowned front entrance.,1.23,143.55,148.671,4,"I enjoyed this study because it fit the study title, ""How does information change thinking,"" quite well. Reading about the Georgian-styled house and then presented with a house that exactly fit its description gave me a specific mindset when I was writing the second paragraph. This contrasted with my less focused thoughts in the first paragraph.",948,2587467506
2020-05-12 22:38:23,2020-05-12 22:39:25,IP Address,68.191.33.60,100,62,True,2020-05-12 22:39:25,R_2zCLzMA2tDkGuxP,,,,,41.3318939208984375,-73.23670196533203125,anonymous,EN,Yes,Yes,Yes,0,0,1.301,0,A little bit,Yes,0.234,0.234,0.524,1,3.19,3.19,5.287,1,,1.654,1.654,12.805,1,It is red. There are flowers. It is day. It has windows.,,,,,,,,,0,0,1.299,0,1.05,2.937,22.214,3,It is brown. It has windows. It is partly white. It has steps.,1.005,4.126,6.033,2,,62,2222376433
2020-05-12 23:36:29,2020-05-12 23:41:14,IP Address,199.115.97.202,100,284,True,2020-05-12 23:41:14,R_ykiSoLwQJw2Nv0t,,,,,39.7501068115234375,-104.995697021484375,anonymous,EN,Yes,Yes,Yes,3.264,4.705,5.97,2,Definitely yes,Yes,0,0,15.595,0,65.25,70.528,72.284,4,,9.836,25.302,71.42,4,"flowers surrounding the house./
the grasses are cut clean
the color of the house is brown
its well built",,,,,1.819,2.614,15.504,2,,,,,2.751,2.751,68.011,1,"it is brown and cream in color.
it is on the coast
trees surrounding it.
its cross ventilated.",2.926,2.926,3.387,1,,284,4219832485
2020-05-12 23:48:52,2020-05-12 23:55:52,IP Address,70.177.161.169,100,420,True,2020-05-12 23:55:52,R_1mOSXDoyRNMKnU2,,,,,33.4342041015625,-111.84539794921875,anonymous,EN,Yes,Yes,Yes,127.674,128.257,129.046,2,A little bit,Yes,0,0,48.66,0,0.941,25.004,25.814,15,,0.988,88.838,104.603,6,THIS HOUSE IN VERY GOOD PLACE N FLOWER IN GOOD LOOK,0,0,7.057,0,,,,,,,,,14.445,14.445,16.709,1,"THIS HOUSE IN COLORS IN CLEAK HOUSE ",0.381,0.381,3.974,1,GOOD,420,1457375464
2020-05-13 00:16:29,2020-05-13 00:21:51,IP Address,67.1.21.153,100,321,True,2020-05-13 00:21:51,R_1K0AzSr3tV3GLrq,,,,,32.25079345703125,-110.823699951171875,anonymous,EN,Yes,Yes,Yes,5.285,8.265,10.721,2,Definitely not,Yes,0,0,5.368,0,7.915,7.915,10.255,1,,8.845,69.549,120.628,4,It is a lovely house kind of the British style house. It looks older and has three floors which is huge. The outside is made out of stone which is harder to find nowadays. It looks like a very nice house to live in and the front has a total of 8 windows.,,,,,0,0,49.398,0,,,,,2.651,34.253,89.702,3,It is a nice large older house. The house exterior is made out of stone and has 12 windows in front and three floors. It is a medium brown stone color. I like the size of this large house as it also has some shade trees in front as well.,0,0,4.618,0,,321,7143039591
2020-05-13 00:23:52,2020-05-13 00:32:08,IP Address,68.36.240.159,100,496,True,2020-05-13 00:32:09,R_2PgTeu2amyqHRQT,,,,,42.965606689453125,-85.65000152587890625,anonymous,EN,Yes,Yes,Yes,11.922,14.346,15.439,2,Definitely not,No,0,0,7.915,0,6.805,6.805,10.194,1,,7.294,76.487,112.841,11,The house is grey brick with a red brick roof. It has two chimneys and 8 windows. It has a nice tree out front as well as an arrangement of flowers. The entrance way is a nice red brick hallway.,16.276,43.051,134.784,2,,,,,,,,,9.879,102.758,188.843,6,The front of the house is very symmetrical with the multi-panel windows all lined up. The front door is hooded with a white awning. The house appears to be two stories and has a gabled roof. There are two chimneys present.,0,0,7.566,0,,496,1291140527
2020-05-13 01:58:46,2020-05-13 02:03:05,IP Address,104.192.2.212,100,259,True,2020-05-13 02:03:06,R_3mn56YE81PvfOwx,,,,,40.87030029296875,-73.85250091552734375,anonymous,EN,Yes,Yes,Yes,2.401,5.605,8.028,3,A little bit,Yes,0,0,6.103,0,7.385,38.372,40.952,14,,8.408,8.408,64.818,1,the house is very beautiful and the garden is very  pretty and i like most these house.,,,,,,,,,0,0,29.661,0,3.87,3.87,62.345,1,the house is looks like ghost house and the  background also so nice.,4.668,4.684,18.313,2,good and interesting,259,1092613199
2020-05-13 03:34:34,2020-05-13 03:41:33,IP Address,104.192.2.45,100,418,True,2020-05-13 03:41:33,R_3Dbu3RURM6LF5ww,,,,,40.87030029296875,-73.85250091552734375,anonymous,EN,Yes,Yes,Yes,23.427,26.394,28.095,2,A little bit,Yes,0,0,8.018,0,13.434,13.434,14.55,1,,8.475,10.577,150.587,2,it looks very pleasant to stay.lovely exterior make the house beautiful.flowers and plant looks very nice.windows and brick using the way is good.,54.553,85.582,106.058,3,,,,,,,,,1.684,1.684,80.577,1,it looks very classy.tress in front of the house looks beautiful.windows and doors color are stunning.color of the bricks used is good knowledge.,1.902,1.902,10.145,1,good,418,3985917516
2020-05-13 08:11:14,2020-05-13 08:15:44,IP Address,107.5.199.80,100,269,True,2020-05-13 08:15:44,R_2q7CGsWJgGhgU0V,,,,,42.913299560546875,-85.8144989013671875,anonymous,EN,Yes,Yes,Yes,6.381,8.62,10.714,2,Definitely not,Yes,0,0,3.728,0,6.202,6.202,12.573,1,,6.843,6.843,53.689,1,it is an old house. the roof is very artistic. it has a nice garden. overall the house is quite big.,,,,,29.928,32.824,33.547,2,,,,,4.248,91.348,92.456,3,the house is freshly painted. the house overall has an old times feel to it. it is warm on the inside. it is also spacious.,0,0,4.295,0,,269,7892422187
2020-05-13 11:37:05,2020-05-13 11:39:03,IP Address,198.228.132.79,100,117,True,2020-05-13 11:39:03,R_XHvHMC3XAriuoQF,,,,,34.0240020751953125,-84.23960113525390625,anonymous,EN,Yes,Yes,Yes,0.638,1.742,2.636,2,Definitely yes,Yes,0,0,10.132,0,9.697,29.642,30.345,11,,1.758,1.758,9.589,1,very beautiful house,0,0,2.47,0,,,,,,,,,11.161,16.025,16.488,4,terrible house,0.544,0.544,6.069,1,good task,117,2756254845
2020-05-13 11:35:14,2020-05-13 11:39:11,IP Address,98.121.32.139,100,237,True,2020-05-13 11:39:11,R_1C1HWzufDTVvaDJ,,,,,35.8639068603515625,-78.535003662109375,anonymous,EN,Yes,Yes,Yes,22.73,23.76,24.465,2,Definitely not,No,0,0,6.563,0,44.239,44.487,45.157,2,,1.141,1.468,36.502,2,"This hose looks cute, it looks typically English as in from the United Kingdom. I would love to live like this, honestly, I think a lot of US houses are quite too basic. This house looks really idealistic.",,,,,,,,,2.62,9.497,22.58,4,29.41,29.41,88.506,1,"This house looks a little dull, the outside looks a bit sad and graw but I do really like the setup of the house, a thorough paint job would help it.",0.487,0.487,1.612,1,na,237,3642211887
2020-05-13 11:34:29,2020-05-13 11:39:26,IP Address,73.115.154.172,100,297,True,2020-05-13 11:39:27,R_1Eh4MNCIZIuZNTr,,,,,29.786895751953125,-95.1759033203125,anonymous,EN,Yes,Yes,Yes,2.6,5.055,8.32,2,Definitely not,Yes,0,0,13.959,0,5.893,5.893,6.74,1,,7.906,62.921,65.724,2,"The house is made out of brick. It has a red trim around it and a red roof. There are two big bay windows in the front with red flowers in the garden. There are three windows on the second story followed by 3 windows up in the attic. ",,,,,38.459,60.329,77.931,6,,,,,3.165,3.165,75.35,1,"The house has a gate around it. There is some greenery but nothing that stands out. There is bush by the left window, but nothing eye catching. The house itself is a plain brown with a little bit of red trim around the windows. Looking at it, it seems dull and not lively. There is nothing to look at that catches the eye. ",1.286,1.286,5.441,1,None,297,7426046379
